start_time,end_time,start_row,end_row,profit,profit_fees
2024-03-07 23:28,2024-03-15 13:35,0,11614,20526086.234050002,1960044.1540498957
2024-03-15 13:36,2024-03-18 03:51,11615,17612,9620030.026039962,64272.82603995688
2024-03-18 04:01,2024-03-31 22:16,17613,27083,8720651.659609979,-2289071.54038997
